park_date,alien_saucers,dinosaur,expedition_everest,flight_of_passage,kilimanjaro_safaris,navi_river,pirates_of_caribbean,rock_n_rollercoaster,seven_dwarfs_train,slinky_dog,soarin,spaceship_earth,splash_mountain,toy_story_mania,season
2018-06-30,45.833333333333336,,,,25.25,,,,,114.16666666666667,,,13.0,36.199999999999996,regular
2018-07-01,39.5,,,,,,25.0,,,70.88888888888889,33.0,,,39.833333333333336,peak
2018-07-02,21.166666666666668,13.333333333333334,,,,,,,,43.1,36.42857142857143,25.333333333333332,,,peak
2018-07-03,17.666666666666668,,,,,,13.714285714285714,76.33333333333333,,50.53333333333333,,,,31.166666666666668,peak
2018-07-04,,12.285714285714286,,74.25,20.5,49.2,,,,37.25,39.333333333333336,,,23.25,peak
2018-07-05,24.444444444444443,,,,,,12.333333333333334,,,41.2,,,,23.5,peak
2018-07-06,34.41666666666667,,31.666666666666668,,18.75,,13.833333333333334,21.25,,60.833333333333336,21.142857142857142,,,45.75,peak
2018-07-07,29.666666666666668,33.75,16.333333333333332,,,,12.833333333333334,,,40.1,20.0,,,30.0,peak
2018-07-08,,23.8,21.666666666666668,95.0,,,19.6,,26.125,66.6,,,,20.6,peak
2018-07-09,36.16666666666667,,10.9,87.25,14.666666666666666,6.0,,,,,25.666666666666668,,,22.5,peak
2018-07-10,28.875,19.0,,,,,,,,54.458333333333336,8.0,,,22.666666666666668,peak
2018-07-11,14.2,,20.0,,,,24.666666666666668,20.333333333333332,,29.166666666666668,31.75,,,31.0,peak
2018-07-12,,,,94.75,,24.666666666666668,25.666666666666668,,,21.0,19.15,,,25.333333333333332,peak
2018-07-13,24.0,,,,,,15.555555555555555,,,46.0,,,,10.25,peak
2018-07-14,31.0,18.25,15.75,,,20.125,15.125,,27.75,43.166666666666664,19.3125,,,42.125,peak
2018-07-15,26.666666666666668,,,74.58333333333333,26.333333333333332,,22.083333333333332,,,42.875,,,37.333333333333336,25.8,peak
2018-07-16,38.833333333333336,,,,,,29.333333333333332,,,49.0,,15.0,,,peak
2018-07-17,22.75,,,,,,17.25,,,38.375,,,,33.64,peak
2018-07-18,28.599999999999998,,,,,,28.416666666666668,,,50.4,24.333333333333332,,,23.833333333333332,peak
2018-07-19,,,,,,,,,,36.25,,,,24.375,peak
2018-07-20,31.666666666666668,,,,,,,,,45.875,23.0,,,20.61904761904762,peak
2018-07-21,29.0,,,,,,15.666666666666666,39.333333333333336,,53.25,,,,,peak
2018-07-22,,,,,,,23.333333333333332,26.333333333333332,,,,,,,peak
2018-07-23,31.25,,,,,,19.125,,,47.0,,,,,peak
2018-07-24,24.666666666666668,,,,,,,,,39.75,14.666666666666666,,,40.733333333333334,peak
2018-07-25,,,,,,,,36.833333333333336,,,,,,,peak
2018-07-26,22.0,,,,,,11.333333333333334,,,40.33333333333333,15.333333333333334,,,,peak
2018-07-27,,,,,,30.333333333333332,,,,56.2,,,,,peak
2018-07-28,22.5,18.333333333333332,,,,27.666666666666668,24.666666666666668,,,,,,,23.666666666666668,peak
2018-07-29,,15.625,,,,,18.5,,,,,,,14.833333333333334,peak
2018-07-30,25.583333333333332,,,,19.333333333333332,,19.0,,,50.2,,,,33.875,peak
2018-07-31,,,,,,27.0,,,,44.0,28.375,,,22.375,peak
2018-08-01,34.0,,,,,,,,,39.5,20.5,,,27.5,peak
2018-08-02,,27.666666666666668,,,,,9.555555555555555,,,37.0,23.666666666666668,,,54.333333333333336,peak
2018-08-03,44.5,,,,,,,,,46.9,29.5,,,,peak
2018-08-04,,,23.5,,,14.125,,,,39.66666666666667,23.666666666666668,,,,peak
2018-08-05,,,22.833333333333332,64.66666666666667,,,17.9,,,,,,,,peak
2018-08-06,,,11.8,,,,,38.666666666666664,,,,,,,peak
2018-08-07,35.5,,,,,,23.166666666666668,,,,25.0,,,28.4,peak
2018-08-08,,,,,,,6.0,9.0,,,21.666666666666668,,,33.42857142857143,peak
2018-08-09,,,,,18.333333333333332,,,24.625,,46.4,,,,9.625,peak
