"dataset_name","name","short_name","park","land","opened_on","duration","average_wait_per_hundred"
"alien_saucers","Alien Swirling Saucers","Alien Saucers","Disney's Hollywood Studios","Toy Story Land",2018-06-30,2.5,10
"dinosaur","DINOSAUR","DINOSAUR","Disney's Animal Kingdom","DinoLand U.S.A.",1998-04-22,3.5,3
"expedition_everest","Expedition Everest - Legend of the Forbidden Mountain","Expedition Everest","Disney's Animal Kingdom","Asia",2006-04-07,4,4
"flight_of_passage","Avatar Flight of Passage","Flight of Passage","Disney's Animal Kingdom","Pandora - The World of Avatar",2017-05-27,6,4
"kilimanjaro_safaris","Kilimanjaro Safaris","Kilimanjaro Safaris","Disney's Animal Kingdom","Africa",1998-04-22,20,4
"navi_river","Na'vi River Journey","Na'vi River","Disney's Animal Kingdom","Pandora - The World of Avatar",2017-05-27,5,5
"pirates_of_caribbean","Pirates of the Caribbean","Pirates of Caribbean","Magic Kingdom","Adventureland",1973-12-17,7.5,1.5
"rock_n_rollercoaster","Rock 'n' Roller Coaster Starring Aerosmith","Rock Coaster","Disney's Hollywood Studios","Sunset Boulevard",1999-07-29,1.5,2.5
"seven_dwarfs_train","Seven Dwarfs Mine Train","7 Dwarfs Train","Magic Kingdom","Fantasyland",2014-05-28,3,5
"slinky_dog","Slinky Dog Dash","Slinky Dog","Disney's Hollywood Studios","Toy Story Land",2018-06-30,3,5
"soarin","Soarin' Around the World","Soarin'","Epcot","World Nature",2005-05-05,8,3
"spaceship_earth","Spaceship Earth","Spaceship Earth","Epcot","World Celebration",1982-10-01,16,3
"splash_mountain","Splash Mountain","Splash Mountain","Magic Kingdom","Frontierland",1992-07-17,18,3.5
"toy_story_mania","Toy Story Mania!","Toy Story Mania!","Disney's Hollywood Studios","Toy Story Land",2008-05-31,6.5,4.5
