"date","wdw_ticket_season","wdwseason","wdwmaxtemp","wdwmintemp","wdwmeantemp","mkopen","mkclose","mkhours","epopen","epclose","ephours","hsopen","hsclose","hshours","akopen","akclose","akhours"
2015-01-01,NA,"CHRISTMAS PEAK",73.02,59.81,66.41,28800,90000,17,28800,75600,13,28800,79200,14,28800,68400,11
2015-01-02,NA,"CHRISTMAS",78,60.72,69.36,28800,90000,17,28800,75600,13,28800,79200,14,28800,72000,12
2015-01-03,NA,"CHRISTMAS",83.12,67.31,75.22,32400,90000,16,32400,75600,12,32400,79200,13,28800,68400,11
2015-01-04,NA,"CHRISTMAS",83.93,67.97,75.95,32400,86400,15,32400,75600,12,32400,72000,11,32400,72000,11
2015-01-05,NA,"CHRISTMAS",72.3,56.89,64.6,32400,82800,14,32400,75600,12,32400,72000,11,32400,61200,8
2015-01-06,NA,"CHRISTMAS",77.67,54.88,66.28,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-07,NA,"CHRISTMAS",67.24,48.56,57.9,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-08,NA,"CHRISTMAS",59.44,38.7,49.07,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-09,NA,"CHRISTMAS",54.89,45.37,50.13,32400,75600,12,32400,75600,12,32400,68400,10,32400,64800,9
2015-01-10,NA,"WINTER",67.16,44.46,55.81,32400,82800,14,32400,75600,12,32400,72000,11,32400,72000,11
2015-01-11,NA,"WINTER",77.1,53.14,65.12,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-12,NA,"WINTER",78.24,62.86,70.55,32400,75600,12,32400,75600,12,32400,72000,11,32400,61200,8
2015-01-13,NA,"WINTER",74.89,61.98,68.44,32400,72000,11,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-14,NA,"WINTER",64.51,53.83,59.17,32400,72000,11,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-15,NA,"MARTIN LUTHER KING JUNIOR DAY",62.12,52.83,57.47,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-16,NA,"MARTIN LUTHER KING JUNIOR DAY",63.58,50.65,57.11,32400,86400,15,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-17,NA,"MARTIN LUTHER KING JUNIOR DAY",72.83,48.54,60.69,32400,90000,16,32400,75600,12,32400,75600,12,32400,68400,10
2015-01-18,NA,"MARTIN LUTHER KING JUNIOR DAY",70.59,55.12,62.86,32400,90000,16,32400,75600,12,32400,75600,12,32400,72000,11
2015-01-19,NA,"MARTIN LUTHER KING JUNIOR DAY",69.89,46.86,58.38,32400,82800,14,32400,75600,12,32400,72000,11,32400,72000,11
2015-01-20,NA,"MARTIN LUTHER KING JUNIOR DAY",71.03,49.38,60.21,32400,79200,13,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-21,NA,"MARTIN LUTHER KING JUNIOR DAY",75.78,52.58,64.18,32400,72000,11,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-22,NA,"MARTIN LUTHER KING JUNIOR DAY",77.09,55.15,66.12,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-23,NA,"MARTIN LUTHER KING JUNIOR DAY",78.4,61.83,70.12,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-24,NA,"WINTER",70.77,49.34,60.06,32400,86400,15,32400,75600,12,32400,72000,11,32400,68400,10
2015-01-25,NA,"WINTER",63.48,43.57,53.53,32400,75600,12,32400,75600,12,32400,72000,11,32400,68400,10
2015-01-26,NA,"WINTER",65.48,52.51,59,32400,79200,13,32400,75600,12,32400,64800,9,32400,61200,8
2015-01-27,NA,"WINTER",66.78,43.56,55.17,32400,75600,12,32400,75600,12,32400,72000,11,32400,61200,8
2015-01-28,NA,"WINTER",61.13,45.75,53.44,32400,72000,11,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-29,NA,"WINTER",70.11,43.56,56.84,32400,72000,11,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-30,NA,"WINTER",71.89,47.38,59.64,32400,75600,12,32400,75600,12,32400,68400,10,32400,61200,8
2015-01-31,NA,"WINTER",69.8,48.04,58.92,28800,86400,16,32400,75600,12,32400,72000,11,28800,68400,11
2015-02-01,NA,"WINTER",73.34,48.7,61.02,32400,79200,13,32400,75600,12,32400,68400,10,32400,72000,11
2015-02-02,NA,"WINTER",75.02,53.51,64.27,32400,79200,13,32400,75600,12,32400,72000,11,32400,64800,9
2015-02-03,NA,"WINTER",66.33,44.24,55.29,32400,75600,12,32400,75600,12,32400,68400,10,32400,64800,9
2015-02-04,NA,"WINTER",73.02,53.63,63.33,32400,75600,12,32400,75600,12,32400,68400,10,32400,64800,9
2015-02-05,NA,"WINTER",65.22,51.8,58.51,32400,75600,12,32400,75600,12,32400,68400,10,32400,64800,9
2015-02-06,NA,"WINTER",66.33,50.3,58.32,32400,82800,14,32400,75600,12,32400,68400,10,32400,64800,9
2015-02-07,NA,"WINTER",71.78,48.31,60.05,28800,86400,16,32400,75600,12,32400,72000,11,32400,72000,11
2015-02-08,NA,"WINTER",73.58,49.22,61.4,32400,86400,15,32400,75600,12,32400,72000,11,32400,72000,11
2015-02-09,NA,"WINTER",70.42,55.13,62.78,32400,79200,13,32400,75600,12,32400,72000,11,32400,61200,8
2015-02-10,NA,"WINTER",64.23,54.03,59.13,32400,82800,14,32400,75600,12,32400,68400,10,32400,61200,8
2015-02-11,NA,"WINTER",66.96,47.46,57.21,32400,79200,13,32400,75600,12,32400,68400,10,32400,61200,8
2015-02-12,NA,"PRESIDENTS WEEK",71.39,45.08,58.24,32400,79200,13,32400,75600,12,32400,68400,10,32400,61200,8
2015-02-13,NA,"PRESIDENTS WEEK",59.54,45.34,52.44,28800,90000,17,32400,75600,12,32400,72000,11,28800,61200,9
2015-02-14,NA,"PRESIDENTS WEEK",63.24,40.49,51.87,28800,90000,17,28800,75600,13,28800,72000,12,28800,72000,12
2015-02-15,NA,"PRESIDENTS WEEK",73.42,48.84,61.13,28800,90000,17,28800,75600,13,28800,72000,12,28800,72000,12
