kappa,confidence_pct,total_rating,total_nominal,total_robust,n_rides,solver_status,rides_selected
0.0000,50.00,87.80,592.80,592.80,11,optimal,alien_saucers|expedition_everest|flight_of_passage|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.1000,53.98,87.80,592.80,596.41,11,optimal,alien_saucers|expedition_everest|flight_of_passage|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.2000,57.93,87.00,590.71,597.46,11,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania
0.3000,61.79,86.20,575.51,585.81,11,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.4000,65.54,86.20,575.51,589.25,11,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.5000,69.15,86.20,575.51,592.68,11,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.6000,72.57,86.20,575.51,596.12,11,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.7000,75.80,86.20,575.51,599.55,11,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.8000,78.81,85.00,567.26,597.20,10,optimal,expedition_everest|flight_of_passage|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
0.9000,81.59,84.20,565.17,596.68,10,optimal,expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania
1.0000,84.13,83.50,561.34,594.66,11,optimal,alien_saucers|dinosaur|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.1000,86.43,83.50,561.34,597.99,11,optimal,alien_saucers|dinosaur|expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.2000,88.49,83.30,555.85,598.41,10,optimal,expedition_everest|flight_of_passage|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.3000,90.32,82.50,553.76,596.94,10,optimal,expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania
1.4000,91.92,81.70,538.56,585.60,10,optimal,expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.5000,93.32,81.70,538.56,588.96,10,optimal,expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.6000,94.52,81.70,538.56,592.32,10,optimal,expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.7000,95.54,81.70,538.56,595.68,10,optimal,expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.8000,96.41,81.70,538.56,599.04,10,optimal,expedition_everest|kilimanjaro_safaris|navi_river|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
1.9000,97.13,81.30,533.15,597.24,10,optimal,alien_saucers|expedition_everest|flight_of_passage|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|toy_story_mania
2.0000,97.72,80.50,531.06,594.38,10,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania
2.1000,98.21,80.50,531.06,597.54,10,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|slinky_dog|soarin|spaceship_earth|splash_mountain|toy_story_mania
2.2000,98.61,79.70,515.86,585.53,10,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
2.3000,98.93,79.70,515.86,588.69,10,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
2.4000,99.18,79.70,515.86,591.86,10,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
2.5000,99.38,79.70,515.86,595.03,10,optimal,alien_saucers|expedition_everest|kilimanjaro_safaris|pirates_of_caribbean|rock_n_rollercoaster|seven_dwarfs_train|slinky_dog|soarin|spaceship_earth|toy_story_mania
